Question ID,Requirement ID,Requirement Area,Category,Priority,Question,Status,Client Response
Q3.3,REQ-03,AP Approval Workflow,Rejection Reason,HIGH,Is a mandatory reason required when rejecting an invoice? Is there a predefined list or free text? Does the vendor receive the rejection reason?,Open,
Q3.4,REQ-03,AP Approval Workflow,Partial Approval,HIGH,"Can the AP team partially approve an invoice (approve some line items, reject others)? What happens to the partially approved portion?",Open,
Q3.5,REQ-03,AP Approval Workflow,Concurrent Review,MEDIUM,What happens if two AP reviewers attempt to action the same invoice simultaneously? Is there a locking mechanism to prevent race conditions?,Open,
Q3.6,REQ-03,AP Approval Workflow,Audit Trail,CRITICAL,"Must all approval/rejection actions be logged with timestamp, user ID, and comments for audit compliance? Is this log immutable?",Open,
Q4.1,REQ-04,Payment Processing,Payment System Integration,CRITICAL,"Which payment or ERP system does the approved invoice integrate with (SAP, Oracle, NetSuite, custom)? Is this via API, SFTP, or manual export?",Open,
Q4.2,REQ-04,Payment Processing,Integration Failure Handling,CRITICAL,"If the downstream payment system is unavailable, what happens — queue and retry, alert and hold, or fail? Who is notified of a failed forwarding attempt?",Open,
Q4.3,REQ-04,Payment Processing,Payment Terms,HIGH,"Are payment terms (Net 30, Net 60) captured and enforced? Does the system trigger payment on due date automatically or require manual initiation?",Open,
Q4.4,REQ-04,Payment Processing,Payment Confirmation Feedback,HIGH,Does the payment system send back a confirmation once payment is made? Is this confirmation surfaced to the vendor on the portal?,Open,
Q4.5,REQ-04,Payment Processing,Currency Support,MEDIUM,"Are multi-currency invoices supported? If yes, how is the exchange rate determined and at what point (submission, approval, or payment date)?",Open,
Q5.1,REQ-05,Email Notifications,Notification Events,HIGH,"What specific events trigger notifications — submission received, AP review started, approved, rejected, payment initiated, payment completed? Provide the complete list.",Open,
Q5.2,REQ-05,Email Notifications,Email Recipients,MEDIUM,"For each event, who receives the email — primary vendor contact only, all contacts, the specific AP reviewer, AP team manager?",Open,
Q5.3,REQ-05,Email Notifications,Email Template & Branding,MEDIUM,"Are branded email templates required? Should emails include invoice details (amount, PO number, invoice number) or just a portal link?",Open,
Q5.4,REQ-05,Email Notifications,Notification Preferences,LOW,Can vendors opt out of certain notification types? Is there an in-portal notification bell in addition to email?,Open,
Q5.5,REQ-05,Email Notifications,Delivery Failure Handling,MEDIUM,What is the behaviour if an email delivery fails (bounced / invalid email)? Is there a retry mechanism and admin alerting?,Open,
Q6.1,REQ-06,Monthly Reports,Report Audience,HIGH,"Who can access monthly reports — AP Manager, Finance team, all AP users, vendors (their own data only)? Can vendors download their own invoice history?",Open,
Q6.2,REQ-06,Monthly Reports,Report Content,HIGH,"What metrics must the report include — invoices submitted/approved/rejected/paid, total value, aging analysis, SLA compliance rate, vendor-wise breakdown?",Open,
Q6.3,REQ-06,Monthly Reports,Report Format & Delivery,MEDIUM,"What format should the report be delivered in — PDF, Excel, CSV, or in-portal dashboard? Is it auto-emailed monthly or manually generated on demand?",Open,
Q6.4,REQ-06,Monthly Reports,Report Date Scope,MEDIUM,"Is the ""monthly"" report based on invoice submission date, approval date, or payment date? Can ad-hoc custom date range reports also be generated?",Open,
Q6.5,REQ-06,Monthly Reports,Data Retention,MEDIUM,How long must invoice records and reports be retained? Are there regulatory compliance requirements (e.g. 7 years for GST audit trail)?,Open,
Q7.1,REQ-07,Access Control,Role Definitions,CRITICAL,"What user roles exist and what are the precise permissions for each? Proposed: Super Admin, AP Manager, AP Reviewer, Vendor Admin, Vendor User — confirm or revise.",Open,
Q7.2,REQ-07,Access Control,Role-Based Data Isolation,CRITICAL,Can a vendor user see other vendors invoices? Can an AP reviewer access invoices outside their assigned queue? Is row-level security required in reports?,Open,
Q7.3,REQ-07,Access Control,Admin User Management,HIGH,Who creates AP team user accounts? What happens to invoices assigned to an AP user who leaves the organization?,Open,
Q7.4,REQ-07,Access Control,Audit Logging for Access,HIGH,"Must every login, failed login, page access, and data export be logged for security auditing? How long are access logs retained?",Open,
NFR-01,Non-Functional,Performance,System Load,HIGH,What is the expected concurrent user volume (vendors + AP team)? What is the acceptable page load SLA (e.g. ≤2 seconds at 500 concurrent users)?,Open,
NFR-02,Non-Functional,Compatibility,Browser & Device,MEDIUM,Which browsers and versions must be supported? Must the portal be mobile-responsive? Is a native mobile app required now or in future?,Open,
NFR-03,Non-Functional,Accessibility,WCAG Compliance,MEDIUM,Is WCAG 2.1 AA compliance required? Are there any screen-reader or keyboard-navigation requirements?,Open,
NFR-04,Non-Functional,Reliability,Backup & Recovery,HIGH,What is the Recovery Time Objective (RTO) and Recovery Point Objective (RPO)? How frequently are database backups taken?,Open,
NFR-05,Non-Functional,Security,Compliance Standards,CRITICAL,"What security standards must the system comply with (ISO 27001, SOC 2, OWASP Top 10)? Is a formal penetration test required before go-live?",Open,
NFR-06,Non-Functional,Scalability,Growth Planning,MEDIUM,What is the anticipated invoice volume growth rate year-over-year? How many vendors are expected at launch vs end of year 1?,Open,
NFR-07,Non-Functional,Localization,Multi-region,MEDIUM,"Is multi-language support required? Is the portal only for India (INR, GST) or multi-country?",Open,
